LANGUAGE,English,German,Czech,Russian,Polish,Spanish,Korean
STR_DISP_ARCWP_HOUSEPOS,Position in house:,Position im Haus:,Pozice v domì:,Ïîëîæåíèå â äîìå:,Pozycja u siebie:,Posición en la casa:,ÁÖÅÃ ³» À§Ä¡ :
STR_DISP_ARCWP_EXPACTIV,On Activation:,Bei Aktivierung:,Pøi aktivaci:,Ïğè àêòèâàöèè:,Przy aktywacji:,En activacion:,È°¼ºÈ­½Ã :
STR_DISP_ARCWP_EXPCOND,Condition:,Bedingung:,Podmínka:,Óñëîâèå:,Warunek:,Condición:,»óÅÂ :
STR_DISP_ARCWP_SHOW_NEVER,Never show,Nie anzeigen,Neukázat nikdy,Íå ïîêàçûâàòü,Nigdy nie pokazywaæ,Nunca mostrar,¾È º¸¿©ÁÖ±â
STR_DISP_ARCWP_SHOW_EASY,Show in cadet mode,In Kadettmodus anzeigen,Ukázat v kadet modu,Êàäåò,Pokazywaæ w trybie kadeta,Mostrar en modo cadete,ÈÆ·Éº´ ¸ğµå¿¡¼­ º¸¿©ÁÖ±â
STR_DISP_ARCWP_SHOW_ALWAYS,Always show,Immer anzeigen,Ukázat vdy,Âñåãäà ïîêàçûâàòü,Zawsze pokazywaæ,Mostrar siempre,Ç×»ó º¸¿©ÁÖ±â
STR_DISP_ARCWP_SCRIPT,Script:,Aufzeichnung:,Skript:,Ñêğèïò:,Skrypt:,Guión,½ºÅ©¸³Æ® :
,,,,,,,
STR_DISP_ARCEFF_TITLE,Edit effects,Effekte bearbeiten,Uprav efekty,Ğåäàêòèğîâàòü ıôôåêòû,Zmodyfikuj efekty,Editar efectos,È¿°ú ÆíÁı
STR_DISP_ARCEFF_CAMERA,Camera:,Kamera:,Kamera:,Êàìåğà:,Kamera:,Camara:,Ä«¸Ş¶ó :
STR_DISP_ARCEFF_CAMTYPE,Effect:,Effekt:,Efekt:,İôôåêò:,Efekt:,Efectos:,È¿°ú :
STR_DISP_ARCEFF_CAMPOS,Position:,Position:,Pozice:,Ïîçèöèÿ:,Pozycja:,Posición:,À§Ä¡ :
STR_DISP_ARCEFF_SOUNDS,Sounds:,Sounds:,Zvuky,Çâóêè:,DŸwiêki,Sonidos:,»ç¿îµå :
STR_DISP_ARCEFF_SOUND_ANON,Anonymous:,Anonym:,Anonymní:,Çâóê:,Anonimowy:,Anonimo:,ÀÍ¸í :
STR_DISP_ARCEFF_VOICE,Voice:,Stimme:,Hlas:,Ãîëîñ:,G³os:,Voz:,¸ñ¼Ò¸® :
STR_DISP_ARCEFF_MUSIC,Music:,Musik:,Hudba:,Ìóçûêà:,Muzyka:,Música:,À½¾Ç :
STR_DISP_ARCEFF_SOUND_ENV,Environment:,Umgebung:,V prostøedí:,Îêğóæåíèå:,Otoczenie:,Entorno:,È¯°æ :
STR_DISP_ARCEFF_SOUND_DET,Trigger:,Auslöser:,Spínaè:,Òğèããåğ:,Wyzwalacz:,Desencadenante:,Æ®¸®°Å :
STR_DISP_ARCEFF_TRACK,Track:,Spur:,Stopa:,Òğåê:,Œcie¿ka:,"Pista;",Æ®·¢ :
STR_DISP_ARCEFF_TITLES,Titles:,Titel:,Titulky:,Çàãîëîâêè:,Tytu³y:,Titulo:,Å¸ÀÌÆ² :
STR_DISP_ARCEFF_TITTYPE,Type:,Typ:,Typ:,Òèï:,Typ:,Tupo:,Á¾·ù :
STR_DISP_ARCEFF_TITEFF,Effect:,Effekt:,Efekt:,İôôåêò:,Efekt:,Efectos:,È¿°ú :
STR_DISP_ARCEFF_TITTEXT,Text:,Text:,Text:,Òåêñò:,Tekst:,Texto:,ÅØ½ºÆ® :
STR_DISP_ARCEFF_ACTIVATION,Activation:,Aktivierung:,Aktivace:,Àêòèâàöèÿ:,Aktywacja:,Activación:,È°¼ºÈ­ :
STR_DISP_ARCEFF_EVERYBODY,Everybody,Jeder,Kdokoli,Âñå,Ktokolwiek,Todos,¸ğµÎ
STR_DISP_ARCEFF_PLAYERONLY,Player only,Nur Spieler,Pouze hráè,Òîëüêî èãğîê,Tylko gracz,Solo jugador,ÇÃ·¹ÀÌ¾î¸¸
,,,,,,,
STR_DISP_ARCSENS_TITLE,Edit trigger,Auslöser bearbeiten,Uprav spínaè,Ğåäàêòèğîâàòü òğèããåğ,Zmodyfikuj wyzwalacz,Editar Desencadenante,Æ®¸®°Å ÆíÁı :
STR_DISP_ARCSENS_A,Axis a,Achse a,Osa A,Îñü à,Oœ A,Eje a,a Ãà
STR_DISP_ARCSENS_B,Axis b,Achse b,Osa B,Îñü á,Oœ B,Eje b,b Ãà
STR_DISP_ARCSENS_ANGLE,Angle,Winkel,Úhel,Óãîë,K¹t,Angulo,°¢µµ
STR_DISP_ARCSENS_ELLIPSE,Ellipse,Ellipse,Elipsa,İëèïñ,Elipsa,Elipse,Å¸¿ø
STR_DISP_ARCSENS_RECT,Rectangle,Rechteck,Obdélník,Òğåóãîëüíèê,Prostok¹t,Rectángulo,Á÷»ç°¢Çü
STR_DISP_ARCSENS_ACTIV,Activation,Aktivierung,Aktivace,Àêòèâàöèÿ,Aktywacja,Activación,È°¼ºÈ­
STR_DISP_ARCSENS_PRESYES,Present,Vorhanden,Pøítomen,Ïğèñóòñâòóşò,Obecny,Presente,Á¸Àç
STR_DISP_ARCSENS_PRESNO,Not present,Nicht vorhanden,Nepøítomen,Îòñóòñòâóşò,Nieobecny,No presente,Á¸ÀçÇÏÁö ¾ÊÀ½
STR_DISP_ARCSENS_DETWEST,Detected by West,Von Westen entdeckt,Odhalen Západem,ÍÀÒÎ,Odkryty przez zachód,Detectado por el Oeste,³ªÅä±º¿¡ Å½Áö
STR_DISP_ARCSENS_DETEAST,Detected by East,Von Osten entdeckt,Odhalen Vıchodem,ÑÑÑĞ,Odkryty przez wschód,Detectado por el Este,¼Ò·Ã±º¿¡ Å½Áö
STR_DISP_ARCSENS_DETGUERRILA,Detected by Resistance,Von den Widerstandskämpfern entdeckt,Odhalen partyzány,Ñîïğîòèâëåíèå,Odkr.przez partyzant.,Detectado por la Resistencia,·¹Áö½ºÅÁ½º¿¡ Å½Áö
STR_DISP_ARCSENS_DETCIVILIAN,Detected by Civilians,Von den Zivilisten entdeckt,Odhalen civilisty,Ãğàæäàíñêèå,Odkryty przez cywilów,Detecatdo por los Civiles,¹Î°£ÀÎ¿¡ Å½Áö
STR_DISP_ARCSENS_ONCE,Once,Einmal,Jednou,Îäíàæäû,Raz,Una vez,ÇÑ¹ø
STR_DISP_ARCSENS_REPEAT,Repeatedly,Mehrfach,Opakovanì,Ïîâòîğÿåìî,Cyklicznie,Repetitivo,¹İº¹ÀûÀ¸·Î
STR_DISP_ARCSENS_COUNTDOWN,Countdown,Countdown,Odpoèet,Îáğàòíûé îòñ÷åò,Odliczanie,Cuenta atrás:,Ä«¿îÆ®´Ù¿î
STR_DISP_ARCSENS_TIMEOUT,Timeout,Timeout,Trvání,Òàéìàóò,Limit czasu,Descarzo:,½Ã°£ÃÊ°ú
STR_DISP_ARCSENS_TIMEOUT_MIN,Min:,Mindestens,Min:,Ìèí:,Min:,Min:,ºĞ :
STR_DISP_ARCSENS_TIMEOUT_MAX,Max:,Höchstens,Max:,Ìàêñ:,Maks:,Max:,ÃÖ´ë :
STR_DISP_ARCSENS_TIMEOUT_MID,Mid:,Mittelwert:,Prùm:,Ñğåä:,Œr:,Med:,ÃÖ¼Ò :
STR_DISP_ARCSENS_TYPE,Type,Typ,Typ,Òèï,Typ,Tipo,Á¾·ù
STR_DISP_ARCSENS_OBJECT,Object,Objekt,Objekt,Îáúåêò,Obiekt,Obejto,¸ñÇ¥
STR_DISP_ARCSENS_TEXT,Text,Text,Text,Òåêñò,Tekst,Texto,ÅØ½ºÆ®
STR_DISP_ARCSENS_EFFECTS,Effects,Effekte,Efekty,İôôåêòû,Efekty,Efectos,È¿°ú
STR_DISP_ARCSENS_EXPCOND,Condition,Bedingung,Podmínka,Óñëîâèå,Warunek,Condición,»óÅÂ
STR_DISP_ARCSENS_EXPACTIV,On Activation,Bei Aktivierung,Pøi aktivaci,Ïî àêòèâàöèè,Przy aktywacji,En activación,È°¼ºÈ­½Ã
STR_DISP_ARCSENS_EXPDESACTIV,On Deactivation,Bei Deaktivierung,Pøi deaktivaci,Ïî äåàêòèâàöèè,Przy dezaktywacji,Al desactivar,ºñÈ°¼ºÈ­½Ã
STR_DISP_ARCSENS_NAME,Name:,Name:,Název:,Èìÿ:,Nazwa:,Nombre:,ÀÌ¸§ :
,,,,,,,
STR_DISP_ARCMARK_NAME,Name:,Name:,Název:,Èìÿ:,Nazwa:,Nombre:,ÀÌ¸§ :
STR_DISP_ARCMARK_COLOR,Color:,Farbe:,Barva:,Öâåò:,Kolor:,Color:,»ö»ó :
STR_DISP_ARCMARK_ICON,Icon,Symbol,Obrázek,Êàğòèíêà,Obrazek,Icono,¾ÆÀÌÄÜ
STR_DISP_ARCMARK_RECT,Rectangle,Rechteck,Obdélník,Ïğÿìîóãîëüíèê,Prostok¹t,Resctángulo,Á÷»ç°¢Çü
STR_DISP_ARCMARK_ELLIPSE,Ellipse,Ellipse,Elipsa,İëèïñ,Elipsa,Elipse,Å¸¿ø
STR_DISP_ARCMARK_A,Axis a,Achse a,"Osa a ",Îñü à,"Oœ a ",Eje a,a Ãà
STR_DISP_ARCMARK_B,Axis b,Achse b,"Osa b ",Îñü á,"Oœ b ",Eje b,b Ãà
STR_DISP_ARCMARK_ANGLE,Angle:,Winkel:,Úhel:,Óãîë:,K¹t:,Angulo:,°¢µµ :
STR_DISP_ARCMARK_TEXT,Text:,Text:,Text:,Òåêñò:,Tekst:,Texto,ÅØ½ºÆ® :
,,,,,,,
STR_DISP_TEMPL_SAVE,Save mission,Einsatz speichern,Uloit misi,Ñîõğàíèòü ìèññèş,Zapisaæ misjê,Salvar misión,¹Ì¼Ç ÀúÀå
STR_DISP_TEMPL_LOAD,Load mission,Einsatz laden,Naèíst misi,Çàãğóçèòü ìèññèş,Wczytaæ misjê,Cargar misión,¹Ì¼Ç ºÒ·¯¿À±â
STR_DISP_TEMPL_NAME,Mission name:,Einsatzname:,Název mise:,Íàçâàíèå:,Nazwa misji:,Misión:,¹Ì¼Ç¸í :
STR_DISP_TEMPL_MODE,Save as:,Speichern unter:,Uloit jako:,Ñîõğàíèòü êàê:,Zapisaæ jako:,Salvar como:,´Ù¸¥ ÀÌ¸§À¸·Î ÀúÀå :
STR_DISP_TEMPL_ISLAND,Island:,Insel:,Ostrov:,Îñòğîâ:,Wyspa:,Isla:,¼¶ :
,,,,,,,
STR_DISP_INTEL_TITLE,Intel,Nachrichtendienst,Prùzkum,Ğàçâåäêà,Dane misji,Intel,Á¤º¸
STR_DISP_INTEL_WEATHER,Weather,Wetter-,Poèasí,Ïîãîäà,Pogoda,Clima,±â»ó
STR_DISP_INTEL_FORECAST,Forecast,Vorhersage,Pøedpovìï,Ïğîãíîç,Prognoza,Pronostico,¿¹º¸
STR_DISP_INTEL_DATE,Date:,Datum:,Datum,Äàòà:,Data:,Fecha:,ÀÏÀÚ :
STR_DISP_INTEL_TIME,Time:,Uhrzeit:,Èas,Âğåìÿ:,Godzina:,Hora:,½Ã°£ :
STR_DISP_INTEL_BRIEFING,Briefing,Besprechung,Brífink,Áğèôèíã,Odprawa,Plan:,º¸°í
STR_DISP_INTEL_NAME,Name:,Name:,Název,Íàçâàíèå:,Nazwa:,Nombre:,ÀÌ¸§ :
STR_DISP_INTEL_DESC,Description:,Beschreibung:,Popis,Îïèñàíèå:,Opis:,Descripción,¼¼ºÎ»çÇ× :
STR_DISP_INTEL_RESISTANCE,Resistance friendly to,Widerstandskämpfer auf Seite von,Partyzáni jsou spojenci,Ñîïğîòèâëåíèå íà ñòîğîíå,Partyzanci w sojuszu z,Resitencia alidado de,¿¡ ¿ìÈ£ÀûÀÎ ·¹Áö½ºÅÁ½º
STR_DISP_INTEL_NONE_FRIENDLY,Nobody,Niemandem,Nikoho,Íèêîãî,nikim,Nadie,¾Æ¹«µµ ¾øÀ½
STR_DISP_INTEL_WEST_FRIENDLY,West,Westen,Západu,ÍÀÒÎ,Zachodem,Oeste,³ªÅä±º
STR_DISP_INTEL_EAST_FRIENDLY,East,Osten,Vıchodu,ÑÑÑĞ,Wschodem,Este,¼Ò·Ã±º
STR_DISP_INTEL_BOTH_FRIENDLY,Everybody,Jedem,Všech,Âñåõ,Wszystkimi,Todos,¸ğµÎ
,,,,,,,
STR_DISP_GR_WAYPOINTS,Waypoints (F1),Wegmarken (F1),Body trasy (F1),Âåéïîèíòû (F1),Trasa (F1),Puntos intermedios (F1),¿şÀÌÆ÷ÀÎÆ® (F1)
STR_DISP_GR_SYNCHRONIZE,Synchronize (F2),Abstimmen (F2),Synchronizace (F2),Ñèíõğîíèçàöèÿ (F2),Synchroniz. (F2),Sincronizar (F2),ÀÏÄ¡½ÃÅ°±â (F2)
,,,,,,,
COMMENT,Player login display,Anzeige Spieler-Login,Displej pøihlášení hráèe,İêğàí ëîãèíà èãğîêà,Ekran wstêpu gracza,Pantalla de login de jugador,ÇÃ·¹ÀÌ¾î ·Î±×ÀÎ È­¸é
STR_DISP_LOGIN_TITLE,Select player,Spieler auswählen,Vyberte hráèe,Âûáğàòü èãğîêà,Wybierz gracza,Seleccionar jugador,ÇÃ·¹ÀÌ¾î ¼±ÅÃ
STR_DISP_LOGIN_USER,Player Profiles:,Spielerprofile:,Profily hráèù:,Ïğîôèëè èãğîêà:,Gracze:,Perfiles de jugador,ÇÃ·¹ÀÌ¾î :
STR_DISP_NEW_USER_NAME,Player name:,Spielername:,Jméno hráèe:,Èìÿ èãğîêà:,Nazwa gracza:,Nombre de jugador:,ÇÃ·¹ÀÌ¾î ÀÌ¸§ :
STR_DISP_NEW_USER_FACE,Face:,Gesicht:,Tváø:,Ëèöî:,Oblicze:,Cara:,¾ó±¼ :
STR_DISP_NEW_USER_GLASSES,Glasses:,Brille:,Brıle:,Î÷êè:,Okulary:,Anteojos:,¾È°æ :
STR_DISP_NEW_USER_SPEAKER,Speaker:,Sprecher:,Øeèník:,Ãîëîñ:,Typ g³osu:,Voz:,¸ñ¼Ò¸® :
STR_DISP_NEW_USER_PITCH,Pitch:,Tonhöhe:,Vıška:,Òîí:,Barwa g³osu:,Tono:,À½Á¶ :
STR_DISP_NEW_USER_SQUAD,Squad URL:,URL (Internetadresse) des Trupps:,URL klanu:,URL îòğÿäà:,URL dru¿yny:,URL de escuadra:,ºĞ´ë URL :
,,,,,,,
COMMENT,Chat display,Chat-Anzeige,",Chat display",İêğàí ÷àòà,",Chat display",Pantalla de chat,Ã¤ÆÃÃ¢
STR_DISP_CHAT_TITLE,Chat,Chat,Chat,×àò,Chat,Chat,Ã¤ÆÃ
STR_DISP_CHAT_SEND,Send,Absenden,Odešli,Ãîòîâî,Wyœlij,Enviar,º¸³»±â
,,,,,,,
COMMENT,Interrupt display,Anzeige unterbrechen,Displej pøerušení,İêğàí ïåğåõâàòà,Ekran przerwy,Panatala de pausa,ÀÎÅÍ·´Æ® µğ½ºÇÃ·¹ÀÌ
STR_DISP_INT_TITLE,Paused,Pause,Pauza,ÌÅÍŞ ÏÀÓÇÛ,Przerwa,Pausa,¸ØÃã
STR_DISP_INT_ABORT,Abort,Abbrechen,Pøerušit,Ïğåğâàòü,Dosæ,Abandonar,³¡³»±â
STR_DISP_INT_CONTINUE,Continue,Weiter,Pokraèovat,Â èãğó,Kontynuowaæ,Continuar,°è¼Ó
STR_DISP_INT_OPTIONS,Options,Optionen,Nastavení,Îïöèè,Opcje,Opciones,¿É¼Ç
STR_DISP_INT_LOAD,Load,Laden,Naèíst,Çàãğóçèòü,Wczytaæ,Cargar,ºÒ·¯¿À±â
STR_DISP_INT_SAVE,Save,Speichern,Uloit,Ñîõğàíèòü,Zapisaæ,Salvar,ÀúÀå
STR_DISP_INT_RETRY,Retry,Erneut versuchen,Znovu,Çàíîâî,Powtórz,Reintentar,Àç½ÃÀÛ
,,,,,,,
COMMENT,Mission end display,Anzeige Einsatzende,Konec mise,İêğàí îêîí÷àíèÿ ìèññèè,Ekran koñca misji,Pantalla fin de misión,¹Ì¼Ç Á¾°á
STR_DISP_ME_ABORT,End,Beenden,Ukonèit,Âûõîä,Zakoñczyæ,Fin,³¡³»±â
STR_DISP_ME_RETRY,Retry,Erneut versuchen,Znovu,Çàíîâî,Powtórka,Reintentar,Àç½ÃÀÛ
STR_DISP_ME_LOAD,Load,Laden,Naèíst,Çàãğóçèòü,Wczytaæ,Cargar,ºÒ·¯¿À±â
,,,,,,,
COMMENT,HintC display,Anzeige Hinweis,Nápovìda,HintC display,Ekran wskazówek,Pantalla HintC,ÈùÆ®C µğ½ºÇÃ·¹ÀÌ
STR_DISP_HINTC_CONTINUE,Continue,Weiter,Pokraèovat,Äàëåå,Kontynuowaæ,Continuar,°è¼Ó
,,,,,,,
COMMENT,Menu commands,Menübefehle,Pøíkazové menu,Ìåíş ïğèêàçîâ,Polecenia w menu,Menú de comandos,¸Ş´º Ä¿¸Çµå
STR_REPLY,Reply,Antworten,Odpovìï,Äîïîëíèòåëüíî,OdpowiedŸ,Respuesta,ÀÀ´ä
STR_MENU_STATUS,Status,Status,Stav,Ñòàòóñ,Stan,Estado,»óÅÂ
STR_REPLY_MENU,Reply,Antworten,Odpovìï,Îòäàòü ïğèêàç,OdpowiedŸ,Respuesta,ÀÀ´ä
STR_REPLY_DONE,Done,Erledigt,Hotovo,Ãîòîâî,Gotowe,Hecho,¿Ï·á
STR_REPLY_FAIL,Fail,Scheitern,Nepovedlo se,Ïğîâàë,Pora¿ka,Negativo,½ÇÆĞ
STR_REPLY_COPY,Copy,Verstanden,Provedu,Ïğèíÿë,Odbiór,Entendido,¾Ë¾Ò´Ù
STR_REPLY_REPEAT,Repeat,Wiederholen,Opakuj,Ïîâòîğèòü,Powtórz,Repita,¹İº¹ÇÏ¶ó
STR_REPLY_WHERE_ARE_YOU,Where Are You?,Wo sind Sie?,Kde jste?,Ãäå âû?,Gdzie jesteœ?,Donde estás?,ÇöÀç À§Ä¡´Â?
STR_REPLY_ENGAGING,Attacking,Angriff,Útoèím,Àòàêóş,Atakujê,Atacando,°ø°İÁß
STR_REPLY_UNDER_FIRE,I'm under fire,Ich werde beschossen,Jsem pod palbou,Ïîä îãíåì,Pod ostrza³em,Bajo fuego,°ø°İÀ» ¹Ş°í ÀÖ´Ù
STR_REPLY_HIT,I'm hit,Ich bin getroffen,Dostal jsem to,ß ïîäáèò!,Dosta³em!,Herido,¸Â¾Ò´Ù.
STR_REPLY_ONE_LESS,One Less,Einer weniger,Je po nìm,Îäíèì ìåíüøå,Jednego mniej,Uno menos,ÇÑ¸í Á¦°Å
STR_REPLY_FIREREADY,Ready to fire,Bereit zum Feuern,K palbì pøipraven,Ãîòîâ ê áîş,Gotowy do strza³u,Listo para disparar,»ç°İ ÁØºñ ¿Ï·á
STR_REPLY_FIRENOTREADY,Cannot fire,Kann nicht feuern,Nemùu støílet,Íå ìîãó ñòğåëÿòü,Nie mo¿e strzelaæ,No puedo disparar,»ç°İ ºÒ°¡
STR_REPLY_KILLED,... is down,... ist fertig,... je mrtvej,... ìåğòâ,... nie ¿yje,... ha caido,... (ÀÌ)°¡ ¾²·¯Á³´Ù
STR_REPLY_INJURED,Injured,Verwundet,Jsem ranìn,Ğàíåí,Oberwa³em,Herido,ºÎ»ó
STR_REPLY_FUEL_LOW,Fuel low,Treibstoff knapp,Dochází mi palivo,Ìàëî òîïëèâà,Koñczy mi siê paliwo,Poco combuustible,¿¬·á ºÎÁ·
STR_REPLY_AMMO_LOW,Ammo low,Munition knapp,Dochází mi munice,Ìàëî áîåïğèïàñîâ,Koñczy mi siê amunicja,Poca munición,Åº¾à ºÎÁ·
,,,,,,,
STR_CALL_SUPPORT,Call support,Unterstützung anfordern,Zavolej podporu,Âûçâàòü ïîääåğæêó,Wezwij wsparcie,Llamar soporte,Áö¿ø ¿äÃ»
STR_SUPPORT_MENU,Call support,Unterstützung anfordern,Zavolej podporu,Âûçâàòü ïîääåğæêó,Wezwij wsparcie,Llamar soporte,Áö¿ø ¿äÃ»
STR_SUPPORT_MEDIC,Medic,Sanitäter,Zdravotník,Ñàíèòàğ,Lekarz,Médico,ÀÇ¹«º´
STR_SUPPORT_REPAIR,Repair truck,Reparaturlastwagen,Opravárenské auto,Òåõïîìîùü,Ciê¿arówka naprawcza,Camión de taller,¼ö¸® Æ®·°
STR_SUPPORT_REARM,Rearm truck,Munitionslastwagen,Munièní auto,Áîåïğèïàñû,Ciê¿arówka z amunicj¹,Camión de munición,Åº¾à Æ®·°
STR_SUPPORT_REFUEL,Refuel truck,Tanklastwagen,Cisterna,Çàïğàâùèê,Cysterna,Camión de combustible,¿¬·á Æ®·°
STR_SUPPORT_DONE,Done,Erledigt,Hotovo,Ãîòîâî,Gotowe,Hecho,¿Ï·á
,,,,,,,
STR_COMMAND,Command,Befehl,Rozkaz,Ïğèêàçàíèå,Rozkazy,Comando,¸í·É
STR_MOVE_OTHER,Other,Andere,Jiné,Äğóãîé,Inny,Otro,±âÅ¸
STR_MOVE_DIR,Move Direction,Bewegungsrichtung,Smìr pohybu,Íàïğàâëåíèå äâèæåíèÿ,Kierunek ruchu,Moverse hacia,ÀÌµ¿ ¹æÇâ
STR_WATCH_DIR,Watch Direction,Auf Kurs achten,Smìr pohledu,Êóäà ñìîòğåòü,Kierunek obserwacji,Mirar direccíon,½Ã¾ß ¹æÇâ
STR_MOVE_N,N,N,S,Ñåâåğ,N,N,ºÏ
STR_MOVE_NE,NE,NO,SV,Ñåâåğî-âîñòîê,NE,NE,µ¿ºÏ
STR_MOVE_E,E,O,V,Âîñòîê,E,E,µ¿ºÏ
STR_MOVE_SE,SE,SO,JV,Şãî-âîñòîê,SE,SE,µ¿³²
STR_MOVE_S,S,S,J,Şã,S,S,³²
STR_MOVE_SW,SW,SW,JZ,Şãî-çàïàä,SW,SO,³²¼­
STR_MOVE_W,W,W,Z,Çàïàä,W,O,¼­
STR_MOVE_NW,NW,NW,SZ,Ñåâåğî-çàïàä,NW,NO,ºÏ¼­
STR_MOVE_DIST,Move Distance,Zurückzulegende Entfernung,Vzdálenost,Äèñòàíöèÿ,Dystans,Moverse a,ÀÌµ¿ °Å¸®
STR_MOVE_50,50m,50m,50m,50ì,50m,50m,50 m
STR_MOVE_100,100m,100m,100m,100ì,100m,100m,100 m
STR_MOVE_200,200m,200m,200m,200ì,200m,200m,200 m
STR_MOVE_500,500m,500m,500m,500ì,500m,500m,500 m
STR_MOVE_1000,1km,1km,1km,1êì,1km,1Km,1 km
STR_MOVE_2000,2km,2km,2km,2êì,2km,2Km,2 km
STR_TEAM,Team,Team,Tım,Êîìàíäà,Zespó³,Equipo,ÆÀ
STR_TEAM_MAIN,White,Weiss,Bílı,Áåëûå,Biali,Blanco,È­ÀÌÆ®
STR_TEAM_RED,Red,Rot,Èervenı,Êğàñíûå,Czerwoni,Rojo,·¹µå
STR_TEAM_GREEN,Green,Grün,Zelenı,Çåëåíûå,Zieleni,Verde,±×¸°
STR_TEAM_BLUE,Blue,Blau,Modrı,Ñèíèå,Niebiescy,Azul,ºí·ç
STR_TEAM_YELLOW,Yellow,Gelb,lutı,Æåëòûå,¯ó³ci,Amarillo,¿»·Î¿ì
STR_ASSIGN,Assign,Zuordnen,Pøiøadit,Íàçíà÷èòü,Przydzieliæ,Asignar,ÇÒ´ç
STR_ASSIGN_MAIN,Assign White,Weiss zuordnen,Pøiøadit k bílému,Íàçíà÷èòü áåëûõ,Przydzieliæ do bia³ych,Asignar Blanco,È­ÀÌÆ® ÇÒ´ç
STR_ASSIGN_RED,Assign Red,Rot zuordnen,Pøiøadit k èervenému,Íàçíà÷èòü êğàñíûõ,Przydzieliæ do czerwonych,Asignar Rojo,·¹µå ÇÒ´ç
STR_ASSIGN_GREEN,Assign Green,Grün zuordnen,Pøiøadit k zelenému,Íàçíà÷èòü çåëåíûõ,Przydzieliæ do zielonych,Asignar Verde,±×¸° ÇÒ´ç
STR_ASSIGN_BLUE,Assign Blue,Blau zuordnen,Pøiøadit k modrému,Íàçíà÷èòü ñèíèõ,Przydzieliæ do niebieskich,Asignar Azul,ºí·ç ÇÒ´ç
STR_ASSIGN_YELLOW,Assign Yellow,Gelb zuordnen,Pøiøadit k lutému,Íàçíà÷èòü æåëòûõ,Przydzieliæ do ¿ó³tych,Asignar Amarillo,¿»·Î¿ì ÇÒ´ç
STR_FORMATION,Formation,Formation,Formace,Ïîñòğîåíèå,Szyk,Formación,´ë¿­
STR_STATUS,Status,Status,Stav,Ñòàòóñ,Stan,Estado,»óÅÂ
COMMENT,STR_MENU_TANK,STR_MENU_TANK,Tank,,Czo³g,STR_MENU_TANK,STR_MENU_TANK
STR_MENU_TARGET,Target,Ziel,Cíl,Öåëü,Cel,Objetivo,Ç¥Àû
,,,,,,,
STR_WATCH_TARGET,Target,Ziel,Cíl,Öåëü,Cel,Objetivo,Ç¥Àû
STR_LOOK_AROUND,Scan horizon,Horizont absuchen,Sledovat horizont,Îñìîòğåòü ãîğèçîíò,Obserwuj horyzont,Escanear Horizonte,ÁöÆò¼± Á¶»ç
,,,,,,,
STR_HIDE_MENU,Hide menu,Menü verdecken,Skryj nabídku,Çàêğûòü,Ukryj menu,Esconder menú,¸Å´º ¼û±â±â
STR_CANCEL_MENU,,,,,,,0
STR_MORE_MENU,More,Mehr,Další,Ïîäğîáíåé,Dalej,Más,Ãß°¡ º¸±â
STR_TARGET_MENU,%s at %d o'clock,%s auf %d Uhr,%s na hodinì %d,%s,%s na godz. %d,%s at %d en punto,"%s, %d½Ã ¹æÇâ"
STR_TARGET_MENU_SENSOR,"%s, %d at %d o'clock","%s, %d auf %d Uhr","%s, %d na hodinì %d",%s,"%s, %d na godz. % ","%s, %d a %d en punto","%s, %d, %d½Ã ¹æÇâ"
STR_TARGET_MENU_GROUP,"%s, %s (%d)","%s, %s (%d)","%s, %s (%d)",%s,"%s, %s (%d)","%s, %s (%d)","%s, %s (%d)"
,,,,,,,
STR_GETIN_POS,Where,Wo,Kam,Íà ìåñòî...,Gdzie,Donde,¾îµğ
STR_GETIN_POS_ANY,Anywhere,Überall,Kamkoli,Ëşáîå,Gdziekolwiek,Qualquier parte,¾îµğµçÁö
STR_GETIN_POS_DRIVER,Driver,Fahrer,Øidiè,Âîäèòåëÿ,Kierwoca,Conductor,Á¶Á¾¼ö
STR_GETIN_POS_PILOT,Pilot,Pilot,Pilot,Ïèëîòà,Pilot,Piloto,ÆÄÀÏ·µ
STR_GETIN_POS_COMM,Commander,Kommandant,Velitel,Êîìàíäèğà,Dowódca,Comandante,ÁöÈÖ°ü
STR_GETIN_POS_GUNN,Gunner,Schütze,Støelec,Ñòğåëêà,Strzelec,Artillero,»ç°İ¼ö
STR_GETIN_POS_CARGO,Ride in back,Hinten mitfahren,Vzadu,Â êóçîâ,Pasa¿er,Pasajero,µÚ¿¡ Å¾½Â
,,,,,,,
COMMENT,STR_TANK_NEXTWP,STR_TANK_NEXTWP,STR_TANK_NEXTWP,,Nastêpny punkt trasy,STR_TANK_NEXTWP,STR_TANK_NEXTWP
COMMENT,STR_TANK_MANUAL,STR_TANK_MANUAL,STR_TANK_MANUAL,,Rêczna kontrola,STR_TANK_MANUAL,STR_TANK_MANUAL
COMMENT,STR_TANK_COMMAND,STR_TANK_COMMAND,STR_TANK_COMMAND,,Kontrola dowodzenia,STR_TANK_COMMAND,STR_TANK_COMMAND
,,,,,,,
COMMENT,Status submenu,Status Untermenü,Podnabídka stavu,Ñòàòóñ ñóáìåíş,Podmenu stanu,Menú de estado,»óÅÂ ÇÏÀ§¸Ş´º
,,,,,,,
